ID,Modelo,Ano,Concessionaria,Preco,Combustivel,Cor
6a148f7492b38ead3a6b314d,ONIX SEDAN PLUS LTZ TURBO AT (PRB),26/26,GM AMG - LETICIA.AMG,126090,Flex,PRATA SHARK
6a148f7592b38ead3a6b314e,ONIX SEDAN PLUS LTZ TURBO AT (PRB),26/26,GM AMG - LETICIA.AMG,126090,Flex,VERMELHO SCARLET
6a148f7592b38ead3a6b314f,ONIX SEDAN PLUS PREMIER TURBO AT (R8R),26/26,GM AMG - LETICIA.AMG,134590,Flex,BRANCO SUMMIT
6a148f7692b38ead3a6b3150,ONIX SEDAN PLUS PREMIER TURBO AT (R8R),26/26,GM AMG - LETICIA.AMG,133090,Flex,PRATA SHARK
6a148f7892b38ead3a6b3154,SONIC RS TURBO AT (R8D),26/27,GM AMG - LETICIA.AMG,141940,Flex,BRANCO SUMMIT
6a148f7892b38ead3a6b3155,TRACKER TURBO AT (R8B),26/26,GM AMG - LETICIA.AMG,126990,Flex,PRETO OURO NEGRO
6a148f7992b38ead3a6b3156,TRACKER TURBO AT (R8B),26/27,GM AMG - LETICIA.AMG,128990,Flex,AZUL BOREAL
6a148f7992b38ead3a6b3157,TRACKER TURBO AT (R8B),26/27,GM AMG - LETICIA.AMG,128990,Flex,PRATA SHARK
6a148f7a92b38ead3a6b3158,TRACKER TURBO AT (R8B),26/27,GM AMG - LETICIA.AMG,128990,Flex,PRATA SHARK
6a148f7a92b38ead3a6b3159,TRACKER LT TURBO AT (R8D),25/26,GM AMG - LETICIA.AMG,144990,Flex,AZUL BOREAL
6a148f7b92b38ead3a6b315a,TRACKER PREMIER TURBO AT (R8I),25/26,GM AMG - LETICIA.AMG,178940,Flex,BRANCO SUMMIT
6a148f7c92b38ead3a6b315b,TRACKER PREMIER TURBO AT (R8I),25/26,GM AMG - LETICIA.AMG,178940,Flex,BRANCO SUMMIT
6a148f7c92b38ead3a6b315c,TRACKER PREMIER TURBO AT (R8I),25/26,GM AMG - LETICIA.AMG,179840,Flex,PRETO OURO NEGRO
6a148f7d92b38ead3a6b315d,TRACKER PREMIER TURBO AT (R8I),26/27,GM AMG - LETICIA.AMG,181640,Flex,CINZA AMBAR
6a148f7d92b38ead3a6b315e,TRACKER PREMIER TURBO AT (R8I),26/27,GM AMG - LETICIA.AMG,181640,Flex,CINZA AMBAR
6a148f7e92b38ead3a6b315f,TRACKER PREMIER TURBO AT (R8I),26/27,GM AMG - LETICIA.AMG,181640,Flex,PRATA SHARK
6a148f7e92b38ead3a6b3160,SPIN PREMIER AT (R6S),26/26,GM AMG - LETICIA.AMG,165840,Flex,PRATA SHARK
6a148f7f5c48b5f79d80bf22,SPIN PREMIER AT (R6S),26/26,GM AMG - LETICIA.AMG,165840,Flex,PRATA SHARK
6a148f7f5c48b5f79d80bf23,EQUINOX RS AT (PEH),25/26,GM AMG - LETICIA.AMG,291190,Flex,VERMELHO RADIANT
6a148f805c48b5f79d80bf24,EQUINOX RS AT (PEH),25/26,GM AMG - LETICIA.AMG,293190,Flex,PRATA SHARK
6a148f805c48b5f79d80bf25,EQUINOX ACTIV AT (PEE),25/26,GM AMG - LETICIA.AMG,293190,Flex,PRATA SHARK
6a148f815c48b5f79d80bf26,TRAILBLAZER HIGHCOUNTRY AT (R6A),25/26,GM AMG - LETICIA.AMG,424490,Diesel,PRATA SHARK
6a148f815c48b5f79d80bf27,MONTANA LTZ AT (RFD),26/26,GM AMG - LETICIA.AMG,155990,Flex,BRANCO SUMMIT
6a148f825c48b5f79d80bf28,MONTANA RS AT (RGE),26/27,GM AMG - LETICIA.AMG,173390,Flex,PRETO OURO NEGRO
6a148f835c48b5f79d80bf29,S10 LTZ AT (R6V),26/26,GM AMG - LETICIA.AMG,347940,Diesel,BRANCO DUNAS
6a148f835c48b5f79d80bf2a,S10 LTZ AT (R6V),26/26,GM AMG - LETICIA.AMG,347940,Diesel,BRANCO SUMMIT
6a148f845c48b5f79d80bf2b,S10 LTZ AT (R6V),25/26,GM AMG - LETICIA.AMG,353590,Diesel,BRANCO SUMMIT
6a148fe2ab44cb5eca088170,SONIC RS TURBO AT (R8D),26/27,GM AMG - LETICIA.AMG,142790,Flex,CINZA URBANO
6a14a3a16bac39e1001e4979,DOLPHIN MINI GS (ELETRICO),26/27,BYD DEALER - MILENA.DEALER,116800,Elétrico,BRANCO
6a14a3ba6bac39e1001e497a,DOLPHIN MINI GS (ELETRICO),26/27,BYD DEALER - MILENA.DEALER,117800,Elétrico,AZUL
6a159519097df1b5d4fb61fb,ONIX HATCH MT ASPIRADO (R7J),26/26,GM SAGA BURITI - GABRIEL,84990,Flex,AZUL
6a15951a097df1b5d4fb61fc,ONIX HATCH MT ASPIRADO (R7J),26/26,GM SAGA BURITI - GABRIEL,84990,Flex,AZUL
6a1595278ae6ae976fcab692,ONIX HATCH MT ASPIRADO (R7J),25/26,GM SANTA CLARA - RONALDO.CLARA,101790,Flex,PRATA SHARK
6a1595288ae6ae976fcab693,ONIX HATCH MT ASPIRADO (R7J),25/26,GM SANTA CLARA - RONALDO.CLARA,101790,Flex,AZUL BOREAL
6a1595288ae6ae976fcab694,ONIX HATCH MT ASPIRADO (R7J),25/26,GM SANTA CLARA - RONALDO.CLARA,101790,Flex,PRETO OURO NEGRO
6a1595298ae6ae976fcab695,ONIX HATCH MT ASPIRADO (R7J),26/26,GM SANTA CLARA - RONALDO.CLARA,101790,Flex,BRANCO SUMMIT
